,emotion,text
1,fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death."
8,fear,"When, for the first time I realized the meaning of death."
15,fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident."
22,fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable."
25,fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down."
32,fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head."
39,fear,"When, as a child, I was nearly knocked down by a car."
46,fear,"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened."
53,fear,"In a cottage in a large forest, I was alone for a while in the  dark."
59,fear,"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard."
66,fear,"When I am out in the dark and a suspicious looking character  
comes towards me."
73,fear,"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds."
80,fear,"When I flew from Athens to Copenhagen after a holiday.  The plane  
was caught in a storm and it began to shake and I thouhght that  
we were going to crash."
87,fear,"When I could not find my 2 year old daughter.  I ran and looked  
for her everywhere and could not find her.  (I finally found her,  
she had gone to bed to sleep)"
94,fear,"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit."
101,fear,"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people."
108,fear,When my father was ill and was waiting for the results of his tests.
114,fear,"When I found out that my father had lung cancer and they did not  
know how long he would live."
121,fear,"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences."
128,fear,"I met intoxicated people with dubious intentions in a back alley  
one Wednesday night."
138,fear,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover."
145,fear,"I wandered by mistake into the safety zone of a shooting range,  
and was shot at."
152,fear,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed."
157,fear,"I was alone at home, in bed reading a womens' magazine in which  
there were storiees of paranormal experiences.  My leg was  
itching and I stretched my hand to scratch and I felt another  
strange hand. (later I realized that it was the corner of the  
blanket)"
164,fear,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well."
171,fear,"Our tutorial group was soon to be divided, and we got a list of  
names of freshmen, out of which five were to be in my group.  We  
read the names and then each group went its own way to a seminar  
room.  I wondered how I would cope with the new situation and if  
I would succeed as a group leader."
184,fear,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened."
191,fear,When my dog ran out on thin ice last spring.
194,fear,Risk of being involved in a fight after a party.
200,fear,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space."
207,fear,Was nearly knocked down by a car.
211,fear,When someone close to me is travelling by car and is delayed.
216,fear,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me."
219,fear,When I nearly collided with another car.
225,fear,"When I was travelling by tram, I tripped and fell against the  
door.  I thought that I was going to fall out."
232,fear,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. "
239,fear,Someone attacked me with a knife.
246,fear,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house."
253,fear,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark."
260,fear,"My 2 year old daughter disappeared in a moment of inattention; I  
was responsible for her."
267,fear,"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time."
274,fear,When I saw a large spider crawling up the wall.
281,fear,"When one meets new people with whom one is forced to collaborate  
with."
287,fear,"When I was in a little fishing boat and we ran into hard weather  
in the open sea."
294,fear,When my son has a pain in his leg (for no apparent reason).  
301,fear,"When I nearly drowned in icy water wearing ice skates.  It was  
difficult to get out."
308,fear,"When I was reprimanded by the manager of the hotel where I  
worked during Autumn 1984."
315,fear,"Slept in a chapel and in the middle of the night I realized that  
there was someeone else in the chapel.  I never discovered who  
it was and why he was there."
322,fear,"When I was cycling past a parked car someone opened the door and  
nearly pushed me off my bike and into the traffic."
