,emotion,text
0,joy,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly."
7,joy,"After my girlfriend had taken her exam we went to her parent's  
place."
14,joy,When I pass an examination which I did not think I did well.
21,joy,Passing an exam I did not expect to pass.
24,joy,When I had my children.
31,joy,When my child was born.
38,joy,When I saw a person I had not seen for a long time.
45,joy,When I was accepted for a course on finance and accounting.
52,joy,Passed an exam by 2 points.
58,joy,I passed an exam that I was absolutely certain that I had failed.
65,joy,When I won a trip to Greece in a competition.
72,joy,"At a friend's birthday party with some of my closest friends.  It  
was all very pleasant and one could say that I was happy to have  
such good friends."
79,joy,I felt very happy when I won the football pools.
86,joy,"When the whole family gets together for a one week holiday.   
Everybody feels free and the trip is well planned.  It works out  
well and we enjoy ourselves."
93,joy,When I passed the first examination that I had to repeat.
100,joy,"The day I was told that I had been accepted as a student of  
economics."
107,joy,"When I found out that I had passed the last two exams by a  
margin of three marks."
113,joy,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago."
120,joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time."
127,joy,When I got the loan for my studies.
137,joy,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy."
144,joy,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year."
151,joy,"When I was accepted as a student at the college, not having  
thought it possible."
156,joy,"A couple of years ago during the summer holiday, I was fishing at  
a lake with my husband.  Suddenly it started raining while the  
sun was still shining. I experienced a feeling of joy, happiness  
and fulfillment.  the whole nature was full of music."
163,joy,"I had a summer job in Sweden, and my boyfriend came to meet me on  
my birthday."
170,joy,"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?"
177,joy,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter."
183,joy,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc..."
190,joy,When I won a tennis match.
193,joy,"Celebrations on the graduation day with the orchestra playing in  
the garden ( I am a part of this orchestra)."
199,joy,When I met an old schhol friend (school love).
206,joy,Passed the last exam.
210,joy,When my one year old son gives me a spontaneous kiss.
215,joy,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me."""
218,joy,When my girlfriend became pregnant.
224,joy,When I passed an exam.
231,joy,"I worked at a lawyer's office during Summer and I got a very  
good reference from him."
238,joy,When I was finally qualified for my profession.
245,joy,I stopped working (had a boring job).
252,joy,When I get a hug from someone I love.
259,joy,When I won an unexpected sum of money.
266,joy,"When I was at a party I met an old friend from an adult  
education course.  We had not met for 2 years but had both thought  
a lot about each other.  A wonderful experience. 
"
273,joy,When I recently got an appartment in central Gottenburg.
280,joy,"When my son returned from mountaineering - healthy in body and  
soul."
286,joy,"When I was informed that I had been accepted as a student of  
Psychology."
293,joy,When I was acceptted as a student of psychology.
300,joy,When my son was born.
307,joy,"When after 10 months of national service I was ""downgraded"" and  
did not have to do the remaining 5 months."
314,joy,"When my older sister told us that she was thinking of joining the  
rest of the family for the winter sports holiday."
321,joy,When I got through the first day here at the department.
328,joy,When i was asked to be a child's godmother.
335,joy,"When my husband suddenly came to see me at my new job and  
brought some flowers and cake with him."
342,joy,"When we were able to afford a new sofa - a leather one which cost  
SEK 20000.  I had waited for it for 2-3 years."
349,joy,"When I recently managed to get my first consulting assignment  
""myself"" i.e on my own initiative."
356,joy,"When I was appointed to position of trust in a group set up to  
change the working environment."
363,joy,"After my girl and I talked things over our relationship changed  
and became positive.  A diificult time turned into pleasant one."
370,joy,"When I was offered a high position of trust, which I later  
accepted."
377,joy,"[ Cycling in the spring sunshine gives me such delight.   
Happiness is to be healthy, my wonderful finance.  Simply being  
here on earth.]"
