,emotion,text
3,sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time."
10,sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand."
17,sadness,When one's studies seem hopelessly difficult and uninteresting.  
27,sadness,"When I see children on T.V from areas devastated by drought and  
war."
34,sadness,Failing an examination.
41,sadness,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else."
48,sadness,When I was not accepted as a student in finance and accounting.
54,sadness,Railway station good-bye.
61,sadness,I missed the last tram home and had to walk in the pouring rain.
68,sadness,When I had not understood anything after a lecture.
75,sadness,A case of unrequited love.
82,sadness,"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!"""
89,sadness,Marriage crises.  Boredom.
96,sadness,"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month."
103,sadness,"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future."
110,sadness,When I failed an exam.
116,sadness,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated."
123,sadness,"A close acquaintance of the family died of lung cancer.   
Although it was expected, I still felt depressed."
130,sadness,"The thought of having to read a boring book of 400 pages in  
English."
140,sadness,"When my boyfriend openly let me down, preferring another girl."
147,sadness,Breaking up with a girl.
154,sadness,When my grandmother died.
159,sadness,"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad."
166,sadness,My grandmother died suddenly last summer.
173,sadness,"My grandmother died, and my mother called me one sunday morning  
in the Autumn.  The way my mother told me about it, I hated her  
at that moment.  She sounded as if she had been waiting for the  
death of my grandmother.  I had lost a person close to me.  I  
felt guilty too as I had been bad to my grandmother of late.  I had not  
remained calm when she no longer understood everything so well."
179,sadness,"After hearing about the death of my grandfather.  First I could  
not believe it, but later I wept and felt the situation was  
hopeless.  I felt lonely and wanted to be consolated."
186,sadness,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget."
196,sadness,After an exam which I failed.
202,sadness,"When I realized that my girlfriend, whom I like, and I were going  
to separate."
209,sadness,"My current work load is too much.  The feeling comes back from  
time to time."
213,sadness,When I think about my parents getting old.
221,sadness,When I read a lot and did not remember anything.
223,sadness,Long illness.
227,sadness,The inability to read a book at college.
234,sadness,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up."
241,sadness,When I was told that my friend's wife had cancer.
248,sadness,"When I am alone in a room with no contact with anyone -  
loneliness drains me."
255,sadness,After an operation I had to stay in bed for a long time.
262,sadness,"I wanted to be pregnant and did not succeed, so I was depressed     
at every menstruation."
269,sadness,"I had a long discussion on politics with an acquaintance.  He  
was more knowledgeable than me and I failed to explain my point  
of view and was misunderstood so I felt depressed and left."
276,sadness,"When I left New York, and all my family and my friends behind me."
283,sadness,I feel sad about an event I can not influence.
289,sadness,I felt sad and depressed when I heard that our cat had died.
296,sadness,"When I thought that it was going to be impossible for me to start  
studying (due to wrong information from the student advisor)."
303,sadness,When I was accused of neglecting work for the wrong reasons.
310,sadness,"When my ex-girlfriend and I discovered that there was a certain risk  
of her being pregnant."
317,sadness,"I talked to my boyfriend on the phone when I was in high spirits  
and had a lot to tell him.  I had been looking forward to this  
conversation and he did not listen to me to the extent that I  
had anticipated."
324,sadness,When I had to leave my mother and my sister after a week's visit.
331,sadness,"When I was left alone one week-end without being prepared for  
it."
338,sadness,"When I applied for a job which I thought I had a good chance of  
getting, I was not even granted an interview and did not get the  
job."
345,sadness,"When I argue with my mother about the way she treats her two  
children differently."
352,sadness,"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension."
359,sadness,"When the result of a project work was treated nonchalantly  
intead of being criticized by the teacher."
366,sadness,"When my half brother became seriously ill with cancer and died  
later."
373,sadness,"When I was told that I had not been successful in getting the job I  
had been expecting.  I was sure that I was sufficiently  
qualified."
380,sadness,"When I watched the T.V programme called ""The living planet"" and  
saw the far reaching environmental destruction caused by man."
387,sadness,"My girlfriend who had spent 6 months abroad broke off our  
relationship by letter."
394,sadness,"When I crashed my car and it had to be scrapped then.  It was my  
fault and I feel depressed as I miss the car."
401,sadness,"When I feel helpless after having tried to help someone without  
any result."
408,sadness,"When I realized that I could not communicate properly with my  
closest friend."
415,sadness,"Whenever I read or think about the way people treat animals and  
nature."
422,sadness,When a colleague failed to contact me at the arranged time.
429,sadness,"When my daughter had problems with her friends and I could see  
her predicament from the window.  She was given a the cold  
shoulder."
436,sadness,Treatment to become pregnant with a negative result.
443,sadness,When I first heard that Tage Dannielsson had died.
450,sadness,When my girlfriend left me.
457,sadness,"When my dad gives priority to my kid brother's band and his  
other activities.  We both play in different bands and rehearse  
in my parents garage."
464,sadness,When I could not do anything because of a bad back.
476,sadness,"When I failed an exam last Summer.  I had worked very hard for it  
and I was very disappointed thinking that it was hopeless to  
continue at college.  I did overreact."
482,sadness,I did not quite succeed in breast feeding my baby.
489,sadness,"My grandfather died, when I was an exchange student in the USA."
496,sadness,My father gave money to my brother but not to me.
503,sadness,When my grandmother died. I had lived with her for ten years.
510,sadness,My boy-friend an I seperated on his initiative.
517,sadness,"My father had a complicated operation. A long time before and  
also a long time after that, we did not know how he would get  
over it. During all that time I felt very sad."
527,sadness,"Talking to a very good friend who had just had a very bad  
experience which was changing his whole way of looking at life  
etc."
534,sadness,When my dog died.
541,sadness,"At a lack of love of my father for my mum, sadness for him more  
than anyone else because he does not realise how much love and  
happiness there could be between them, and is, and how much he is  
damaging himself apart from mum."
547,sadness,"My sister won a scholarship to Norway and it was particularly as  
she walked across the tarmac to get on the plane and she looked  
back at us."
554,sadness,"Watching an old lady running up the street to catch her bus and  
miss it, it reminded me of my own mother and how dreadful it  
would be to be her in the same situation."
558,sadness,When a close friend died.
564,sadness,"When the guy I was in love with told me that he had met someone  
else and that we would not meet again for a year.  Although we  
did not have a steady relatioship, we were having an affair."
573,sadness,When my ex-boyfriend and I separated.
579,sadness,At set-backs.
594,sadness,When I woke up after a nightmare.
600,sadness,When I heard that a good friend had committed suicide.
606,sadness,"When I found out that I had failed to pass my exams during the  
term by one point.  The fact that exactly the same thing had  
happened last term did not help."
611,sadness,When out of work.
617,sadness,"A colleague's 17 year old daughter is seriously ill with cancer  
and has only a year to live.  I  heard about it 6 weeks ago."
621,sadness,"When I understood that my marriage was falling apart, and we  
decided to be legally separated."
628,sadness,When my grandfather died.
634,sadness,"When I didn't get a certain job at Lillehammer which I wanted  
very much."
641,sadness,"Being bored in school, not being able to marry and have children."
647,sadness,When my girlfriend left me.
654,sadness,"Discovering that Lillehammer provided no musical environment that  
suits my taste, even though I had been told so."
661,sadness,When I was told that a good friend was seriously ill.
668,sadness,When an earlier friend was spreading negative rumours about me.
675,sadness,When my gradmother died.
681,sadness,The death of a close friend.
688,sadness,"Realizing that school will soon be over, and we will all go  
different ways, perhaps never meeting again our friends from this  
year."
695,sadness,"I was told by a good friend that we couldn't be friends any more  
because of his relationship with another girl."
702,sadness,When my grandmother died.
709,sadness,A very close friend left me.
716,sadness,"A woman I know is slowly dying from cancer. Observing this  
process makes me sad."
723,sadness,"When realizing that my girlfriend and myself in fact had started  
the process of breaking up."
729,sadness,"Having to go back home form the U.S. after having been there for  
ten weeks to visit my brother and his family."
734,sadness,When the gear broke on my car.
741,sadness,At the death of a close relative.
748,sadness,"When my grandfather died, with whom I had a very close  
relationship."
755,sadness,Death in the close family.
762,sadness,"Got a package from my parents, without even a small note  
enclosed."
769,sadness,"Not succeeding in a cross-country skiing competition, which I  
intended to win."
776,sadness,Getting to know that my uncle in America had a brain tumor.
783,sadness,Death of a close friend.
790,sadness,"Talking to a pensioned and bitter ""street order"" policeman."
797,sadness,Not getting a job.
804,sadness,My father dying.
811,sadness,"Losing close people and animals. So far, I've felt most when  
losing our dog in a traffic accident."
818,sadness,"My sweatheart were away on a trip, and then she got problems."
825,sadness,Love problems.
832,sadness,My grandfather's death.
839,sadness,When a girlfriend left me.
846,sadness,"As a ten-year-old I was at the funeral of my grand-father.  It was more  
the ceremonies held in the church and not really the death of my  
grand-father which made me sad."
853,sadness,When I am at home alone.
860,sadness,"When I noticed obvious marks of old age (in a negative sense) on  
a close relative of mine."
867,sadness,I had drunk a couple of beers and my fiancee got angry at me.
874,sadness,"I was on my way back from the Inter Rail, on board the ferry from  
Stockholm when my father called me at 7 o'clock to tell me that my  
uncle had died and that I would be seeing him off on his final  
journey within four days."
881,sadness,"When I came to know that my grandmother had died.  She was very  
close to me."
888,sadness,[ Laziness makes one sad.]
895,sadness,"Loneliness, being uncertain of myself in the Autumn."
900,sadness,I realized that the girl I loved had to leave me.
907,sadness,"When I came to know that a girl I was fond of already had a  
boyfriend."
914,sadness,The death of my grandmother.
921,sadness,"My father had a heart attack when I was not at home (I was still  
living with them).  He recovered relatively well although he had  
to retire (which implied relief from the stress of a small scale  
enterprise)."
928,sadness,"The long lasting illness of my grand-mother, and the changes in  
family relationships caused by it."
935,sadness,"I made a long-distance call to people rather close to me and I  
thought about the sad incident that had happened to them in the  
near past; I knew that they were thinking about it too when I made  
the call."
942,sadness,When one of my cat died of a disease.
948,sadness,The death of my grandmother.
955,sadness,"I had had a farewell party at the place where I had been working  
for a year.  That night I could not fall off to sleep.  I was sad  
thinking that I would not see my nice fellow workers again."
962,sadness,"[ A person close to me told me that his positive regard depended  
on my conduct.]"
969,sadness,My father suddenly fell ill and died.
976,sadness,"The death of my father, even though we had not been very close to  
each other."
983,sadness,"A young, close relative of mine died, leaving behind a baby a few  
months old."
990,sadness,"My grandfather died, I went to the mortuary and saw the corpse."
997,sadness,My girlfriend gave me the mitten (left me).
1004,sadness,"When we decided, my boyfriend and I, that we would separate, I  
realized that he would have wanted to continue our relationship  
and the coming separation hurt him."
1011,sadness,"When my boyfriend wanted to leave me, I felt sad and melancholic."
1018,sadness,"I would have liked to go out to chat with some acquaintances, but  
I realized that I was not wanted.  I felt hurt, disappointed,  
lonely and deserted."
1025,sadness,"[ When after a night of sleeping in another's arms, one wakes  
alone and knows that the lonely arms of the night are not the  
same that one meets in the morning.]"
1032,sadness,A close friend of mine had not contacted me for a long time.
1039,sadness,"I felt sad after having had an argument with my boyfriend.  I felt  
that he did not understand me and that there was no point in  
carrying on with the relationship."
1046,sadness,I got to know about the death of a close friend.
1053,sadness,"Estrangement from my best woman friend.  We have been going  
different ways for quite some time now, but the break was total  
when she got married as her husband is unreasonably jealous of me."
1060,sadness,"I felt sad at having to leave my girlfriend after constant problems  
and failed attempts at reconciliation.  My sadness was caused by  
the irreversibility of the decision."
1067,sadness,"When I think that I will probably never have a genuine contact  
with my parents."
1074,sadness,We had to finish the life of our 8 year-old dog.
1081,sadness,"[ When I am, in my opinion, not understood correctly. ]"
1088,sadness,"I tried to talk to my parents over the phone, as I wanted to go  
home for the week-end and I knew that I would not be able to bear  
it.  I tried to reduce the gulf and the conflict between us by  
talking in order to unite our worlds.  Result : hysterical mess,  
blinding and blaming."
1095,sadness,"My child, unexpectedly started acting in a restless and  
disturbing way at school.  In addition his performance at school  
weakened."
1102,sadness,The breaking up of a long lasting relationship.
1109,sadness,"When my friend did not pass the high school graduation  
examinations."
1116,sadness,"A relationship in which I had put my trust, broke up.  I was sad  
when I realized how easy it is to forget something that one had  
once regarded as great and significant."
1123,sadness,When our dog died.
1130,sadness,"The last time I felt sad and disappointed was when I did not do  
as well as I had hoped in one of the final exams.  As compared  
with the earlier exams, the questions, I think, were unjust."
1137,sadness,"Being away from a very close friend, I was away from Finland  
for a year as an exchange student."
1144,sadness,"I could not meet my love, after having waited for a month, due to  
illness."
1151,sadness,After my boyfriend and I had separated.
