,character,statement,line,book,scene
1,albus dumbledore, I should have known that you would be here...Professor McGonagall.,1,1,['albus dumbledore']
4,albus dumbledore," I'm afraid so, Professor. The good, and the bad.",4,1,['albus dumbledore']
6,albus dumbledore, Hagrid is bringing him.,6,1,['albus dumbledore']
8,albus dumbledore," Ah, Professor, I would trust Hagrid with my life.",8,1,['albus dumbledore']
10,hagrid," Professor Dumbledore, Sir. Professor McGonagall.",10,1,"['albus dumbledore', 'hagrid']"
11,albus dumbledore," No problems, I trust, Hagrid?",11,1,"['albus dumbledore', 'hagrid']"
12,hagrid," No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",12,1,"['albus dumbledore', 'hagrid']"
15,albus dumbledore, The only family he has.,15,1,"['albus dumbledore', 'hagrid']"
18,albus dumbledore, Exactly. He's better off growing up away from all that. Until he is ready.,18,1,"['albus dumbledore', 'hagrid']"
20,albus dumbledore," There, there, Hagrid. It's not really good-bye, after all.",20,1,"['albus dumbledore', 'hagrid']"
22,albus dumbledore, Good luck...Harry Potter.,22,1,"['albus dumbledore', 'hagrid']"
341,albus dumbledore," I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch {signals to ragged old man with a cat with red eyes} has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",341,1,"['albus dumbledore', 'harry', 'hermione']"
343,hermione," Oh, no. Okay, relax. {She goes up}",343,1,"['albus dumbledore', 'harry', 'hermione']"
344,ron," Mental that one, I'm telling you.",344,1,"['albus dumbledore', 'ron', 'harry', 'hermione']"
373,albus dumbledore, Let the feast...begin.,373,1,"['albus dumbledore', 'ron', 'harry']"
375,harry, Wow.,375,1,"['albus dumbledore', 'harry']"
382,harry," Say, Percy, who's that teacher talking to Professor Quirrell?",382,1,"['albus dumbledore', 'harry']"
588,albus dumbledore," SILLLLLEEENNNNCEEEEE! {Everyone stops.} Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons.",588,1,"['albus dumbledore', 'ron', 'harry']"
594,harry, How could a troll get in?,594,1,"['albus dumbledore', 'harry']"
