,character,statement,line,book,scene
37,harry," Yes, Aunt Petunia.",37,1,['harry']
41,harry," Yes, Uncle Vernon.",41,1,['harry']
58,harry, He's asleep!,58,1,['harry']
61,harry," Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.",61,1,['harry']
63,harry," Can you...hear me? {The snake nods} It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often? {The snake shakes its head} You're from Burma, aren't you? Was it nice there, do you miss your family? {The snake turns its head in the direction of a sign which says, Bred in Captivity} I see. That's me as well. I never knew my parents, either.",63,1,['harry']
70,harry, Anytime.,70,1,['harry']
78,harry, {Grins and giggles},78,1,['harry']
83,harry, Ow!,83,1,['harry']
85,harry, I swear I don't know! One minute the glass was there and then it was gone! It was like magic!,85,1,['harry']
91,harry," Hey, give it back! It's mine!",91,1,['harry']
105,harry," {Hands cookie to Vernon} Because there's no post on Sunday? Ah, right you are, Harry. No post on Sunday. Hah! No blasted letters today. No, sir. {Harry sees a shadow outside the window. Outside, millions of owls are perched.} No sir, not one blasted, miserable---",105,1,['harry']
114,harry, Get off! Ahh!,114,1,['harry']
116,harry, They're my letters! Let go of me!,116,1,['harry']
120,harry," Make a wish, Harry. {Blows}",120,1,['harry']
123,hagrid, Sorry 'bout that. {He puts the door back up},123,1,"['harry', 'hagrid']"
127,hagrid," Dry up, Dursley, you great prune. {The gun fires}",127,1,"['harry', 'hagrid']"
129,hagrid," {sees Dudley} Mind, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",129,1,"['harry', 'hagrid']"
133,harry," Thank you! {Opens cake, which reads: Happee Birdae Harry.}",133,1,"['harry', 'hagrid']"
134,hagrid," It's not every day that your young man turns eleven, now is it?",134,1,"['harry', 'hagrid']"
136,harry," {puts cake down} Excuse me, who are you?",136,1,"['harry', 'hagrid']"
137,hagrid," Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",137,1,"['harry', 'hagrid']"
138,harry," Sorry, no.",138,1,"['harry', 'hagrid']"
139,hagrid," No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",139,1,"['harry', 'hagrid']"
140,harry, Learnt what?,140,1,"['harry', 'hagrid']"
141,hagrid," You're a wizard, Harry.",141,1,"['harry', 'hagrid']"
142,harry, I-I'm a what?,142,1,"['harry', 'hagrid']"
143,harry," A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",143,1,"['harry', 'hagrid']"
144,harry," No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",144,1,"['harry', 'hagrid']"
145,hagrid," Well, Just Harry, did you ever make anything happen? Anything you couldn't explain when you were angry or scared? {Harry softens his expression} Ah.",145,1,"['harry', 'hagrid']"
148,harry," Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry!",148,1,"['harry', 'hagrid']"
150,harry, You knew?? You knew all along and you never told me?,150,1,"['harry', 'hagrid']"
152,harry, Blown up? You told me my parents died in a car crash!,152,1,"['harry', 'hagrid']"
153,hagrid, A car crash? A car crash kill James and Lily Potter?,153,1,"['harry', 'hagrid']"
155,hagrid, It's an outrage! It's a scandal!,155,1,"['harry', 'hagrid']"
157,hagrid," Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",157,1,"['harry', 'hagrid']"
158,harry, Muggle?,158,1,"['harry', 'hagrid']"
159,hagrid," Non magic folk. This boy's had his name down ever since he was born! He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the greatest headmaster Hogwarts' has ever seen: Albus Dumbledore.",159,1,"['harry', 'hagrid']"
