,character,statement,line,book,scene
310,hermione, Has anyone seen a toad? A boy named Neville's lost one.,310,1,"['ron', 'hermione', 'harry']"
311,ron, No.,311,1,"['ron', 'hermione', 'harry']"
312,hermione," Oh, are you doing magic? Let's see then.",312,1,"['ron', 'hermione', 'harry']"
313,ron," Aghhhemm. Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",313,1,"['ron', 'hermione', 'harry']"
315,hermione," Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...{Hermione goes over and sits across from Harry. He points her hand at his glasses and Harry tenses} Oculus Reparo. {The glasses, which noseband is battered, are repaired. Harry takes them off, amazed.} That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",315,1,"['ron', 'hermione', 'harry']"
316,ron, {full mouth} I'm...Ron Weasley.,316,1,"['ron', 'hermione', 'harry']"
317,hermione," Pleasure. You two better change into your robes. I expect we'll be arriving soon. {Gets up and leaves, then comes back and looks at Ron.} You've got dirt, on your nose, by the way, did you know? Just there. {Points} {Ron scratches his nose, embarrassed.}",317,1,"['ron', 'hermione', 'harry']"
319,hagrid," Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!",319,1,"['ron', 'hermione', 'hagrid']"
321,hagrid," Hello, Harry.",321,1,"['ron', 'hermione', 'hagrid']"
322,harry," Hey, Hagrid.",322,1,"['ron', 'hermione', 'harry', 'hagrid']"
323,ron, Whoaa!,323,1,"['ron', 'hermione', 'harry', 'hagrid']"
324,hagrid," Right then. This way to the boats! Come on, now, follow me.",324,1,"['ron', 'hermione', 'harry', 'hagrid']"
326,ron, Wicked.,326,1,"['ron', 'hermione', 'harry', 'hagrid']"
338,hermione," It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.",338,1,"['hermione', 'harry']"
341,albus dumbledore," I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch {signals to ragged old man with a cat with red eyes} has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",341,1,"['hermione', 'albus dumbledore', 'harry']"
343,hermione," Oh, no. Okay, relax. {She goes up}",343,1,"['hermione', 'albus dumbledore', 'harry']"
344,ron," Mental that one, I'm telling you.",344,1,"['ron', 'hermione', 'albus dumbledore', 'harry']"
352,ron, There isn't a witch or wizard who went bad who wasnt in Slytherin.,352,1,"['ron', 'hermione']"
396,hermione, Nearly headless? How can you be nearly headless?,396,1,"['ron', 'hermione']"
398,ron, Ahh!,398,1,"['ron', 'hermione']"
399,hermione, Eugh.,399,1,"['ron', 'hermione']"
407,ron," Look at that one, Harry!",407,1,"['ron', 'hermione']"
408,harry, I think she fancies you.,408,1,"['ron', 'hermione', 'harry']"
444,hermione," I've read about those. When the smoke turns red {the smoke turns red}, it means you've forgotten something.",444,1,"['ron', 'hermione', 'harry']"
446,harry," Hey, Ron, somebody broke into Gringotts. Listen, Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to.",446,1,"['ron', 'hermione', 'harry']"
453,harry, Whoa. {Hermione stares as the class continues.},453,1,"['hermione', 'harry']"
456,hermione, Up. Up. Up. Up.,456,1,"['hermione', 'harry']"
457,ron," Up!! {His broom flies up and conks him on the nose} Ow! {Harry laughs} Shut up, Harry. {laughs}",457,1,"['ron', 'hermione', 'harry']"
485,hermione," Harry, no! You heard what Madam Hooch said! Besides, you don't even know how to fly. {Harry flies off.} What an idiot.",485,1,"['hermione', 'harry']"
487,harry," Give it here, Malfoy, or I'll knock you off your broom!",487,1,"['hermione', 'harry']"
510,hermione, You won't make a fool of yourself. It's in your blood.,510,1,"['ron', 'hermione', 'harry']"
512,ron," Whoa. Harry, you never told me your father was a Seeker, too.",512,1,"['ron', 'hermione', 'harry']"
513,harry, I-I didn't know.,513,1,"['ron', 'hermione', 'harry']"
515,ron," I'm telling you, it's spooky. She knows more about you than you do.",515,1,"['ron', 'hermione', 'harry']"
516,harry, Who doesn't?,516,1,"['ron', 'hermione', 'harry']"
518,ron, Ahh!,518,1,"['ron', 'hermione', 'harry']"
519,hermione, {Gasps.},519,1,"['ron', 'hermione', 'harry']"
520,harry, What's happening?,520,1,"['ron', 'hermione', 'harry']"
521,hermione," The staircases change, remember? {The staircase stops, in a new place.}",521,1,"['ron', 'hermione', 'harry']"
522,harry, {taps Ron} Let's go this way.,522,1,"['ron', 'hermione', 'harry']"
523,ron," Before the staircase moves again. {They all open a door and walk into a spooky, dark room.}",523,1,"['ron', 'hermione', 'harry']"
524,harry, Does anyone feel like...we shouldn't be here?,524,1,"['ron', 'hermione', 'harry']"
525,hermione, We're not supposed to be here. This is the 3rd floor. It's forbidden.,525,1,"['ron', 'hermione', 'harry']"
527,harry, Let's go.,527,1,"['ron', 'hermione', 'harry']"
529,ron, It's Filch's cat!,529,1,"['ron', 'hermione', 'harry']"
530,harry, Run!,530,1,"['ron', 'hermione', 'harry']"
532,harry, It's locked!,532,1,"['ron', 'hermione', 'harry']"
533,ron," That's it, we're done for!",533,1,"['ron', 'hermione', 'harry']"
534,hermione," Oh, move over! {pushes through and pulls out wand} Alohomora. {The door opens.} Get in. {They bustle in.}",534,1,"['ron', 'hermione', 'harry']"
535,ron, Alohomora?,535,1,"['ron', 'hermione', 'harry']"
536,hermione," Standard book of spells, Chapter 7.",536,1,"['ron', 'hermione', 'harry']"
539,hermione, Filch is gone.,539,1,"['ron', 'hermione', 'harry']"
540,ron, Probably thinks this door's locked.,540,1,"['ron', 'hermione', 'harry']"
541,hermione, It was locked.,541,1,"['ron', 'hermione', 'harry']"
542,harry," And for good reason. {Ron and Hermione turn to stand with Harry. There is a massively huge three headed dog sleeping in front of them. The dog, FLUFFY, begins to wake. It growls, yawns, and growls more...noticing the intruders.}",542,1,"['ron', 'hermione', 'harry']"
545,ron, What do they think they're doing?? Keeping a thing like that locked up in a school.,545,1,"['ron', 'hermione', 'harry']"
546,hermione," You don't use your eyes, do you? Didn't you see what it was standing on?",546,1,"['ron', 'hermione', 'harry']"
547,ron," I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice, there were three! {they begin to climb the stairs to the dorms.}",547,1,"['ron', 'hermione', 'harry']"
548,hermione, It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.,548,1,"['ron', 'hermione', 'harry']"
549,harry, Guarding something?,549,1,"['ron', 'hermione', 'harry']"
550,hermione," That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed...or worse, expelled! {turns and leaves, shutting the door to her dorms.}",550,1,"['ron', 'hermione', 'harry']"
551,ron, She needs to sort out her priorities!,551,1,"['ron', 'hermione', 'harry']"
555,harry, {throws back} I think so. What are those? {points to two squirming chained down balls.},555,1,"['ron', 'hermione', 'harry']"
557,harry, I like this ball.,557,1,"['ron', 'hermione', 'harry']"
559,harry, What do I do with it?,559,1,"['ron', 'hermione', 'harry']"
568,hermione," Stop, stop, stop. You're going to take someone's eye out. Besides, youre saying it wrong. It's Leviosa, not Leviosar.",568,1,"['ron', 'hermione', 'harry']"
569,ron," You do it then if you're so clever. Go on, go on.",569,1,"['ron', 'hermione', 'harry']"
571,hermione, {crisply} Wingardium Leviosa. {The feather glows and lifts up. Ron puts his head on his books dejectedly.},571,1,"['ron', 'hermione', 'harry']"
577,harry," I think we're going to need another feather over here, Professor.",577,1,"['ron', 'hermione', 'harry']"
579,ron," It's Leviosa, not Leviosar. Honestly, she's a nightmare. No wonder she hasn't got any friends!",579,1,"['ron', 'hermione', 'harry']"
581,harry, I think she heard you.,581,1,"['ron', 'hermione', 'harry']"
