,character,statement,line,book,scene
277,ron," Excuse me, do you mind? Everywhere else is full.",277,1,"['ron', 'harry']"
278,harry," No, not at all.",278,1,"['ron', 'harry']"
279,ron," {sits across from Harry} I'm Ron, by the way. Ron Weasley.",279,1,"['ron', 'harry']"
280,harry, I'm Harry. Harry Potter.,280,1,"['ron', 'harry']"
282,ron," So-so it's true?! I mean, do you really have the...the...",282,1,"['ron', 'harry']"
283,harry, The what?,283,1,"['ron', 'harry']"
284,ron, {whispers} Scar...?,284,1,"['ron', 'harry']"
285,harry," Oh, yeah. {lifts up hair}",285,1,"['ron', 'harry']"
286,ron, Wicked.,286,1,"['ron', 'harry']"
289,ron," {Holds up mushed sandwiches} No, thanks, I'm all set. {smacks lips.}",289,1,"['ron', 'harry']"
290,harry, {pulls out coins} We'll take the lot!,290,1,"['ron', 'harry']"
291,ron, Whoa!,291,1,"['ron', 'harry']"
294,harry, Bertie Bott's Every Flavour Beans?,294,1,"['ron', 'harry']"
295,ron," They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!",295,1,"['ron', 'harry']"
297,harry," {picks up blue and gold package} These aren't real chocolate frogs, are they?",297,1,"['ron', 'harry']"
298,ron," It's only a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.",298,1,"['ron', 'harry']"
300,ron," Oh, that's rotten luck. They've only got one good jump in them to begin with.",300,1,"['ron', 'harry']"
301,harry," Hey, I got Dumbledore!",301,1,"['ron', 'harry']"
302,ron, I got about 6 of him.,302,1,"['ron', 'harry']"
303,harry," Hey, he's gone!",303,1,"['ron', 'harry']"
304,ron," Well, you can't expect him to hang around all day, can you? {Scabbers squeaks} This is Scabbers, by the way, pitiful, isn't he?",304,1,"['ron', 'harry']"
305,harry, Just a little bit.,305,1,"['ron', 'harry']"
306,ron, Fred gave me a spell as to turn him yellow. Want to see?,306,1,"['ron', 'harry']"
307,harry, Yeah!,307,1,"['ron', 'harry']"
308,ron, {clears throat} Ahem. Sun-,308,1,"['ron', 'harry']"
310,hermione, Has anyone seen a toad? A boy named Neville's lost one.,310,1,"['ron', 'hermione', 'harry']"
311,ron, No.,311,1,"['ron', 'hermione', 'harry']"
312,hermione," Oh, are you doing magic? Let's see then.",312,1,"['ron', 'hermione', 'harry']"
313,ron," Aghhhemm. Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",313,1,"['ron', 'hermione', 'harry']"
315,hermione," Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...{Hermione goes over and sits across from Harry. He points her hand at his glasses and Harry tenses} Oculus Reparo. {The glasses, which noseband is battered, are repaired. Harry takes them off, amazed.} That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",315,1,"['ron', 'hermione', 'harry']"
316,ron, {full mouth} I'm...Ron Weasley.,316,1,"['ron', 'hermione', 'harry']"
