,character,statement,line,book,scene
426,snape," There will be no foolish wand waving or silly incantations in this class. As such, I don't expect many of you to enjoy the subtle science and exact art that is potion making. However, for those select few {looks at Draco, who smiles}, who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory and even put a stopper {Draco looks on} in death. {Draco raises his eyebrows.} {Snape sees Harry, writing this down, in, his view, not paying attention.} Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.",426,1,"['ron', 'harry', 'snape']"
428,snape," Mr. Potter. Our...new...celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood? {Hermione's hand skyrockets. Harry shrugs.} You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar? {Hermione's hand shoots up again.}",428,1,"['ron', 'harry', 'snape']"
429,harry," I don't know, Sir.",429,1,"['ron', 'harry', 'snape']"
430,snape, And what is the difference between Monkshood and Wolfbane?,430,1,"['ron', 'harry', 'snape']"
431,harry," I don't know, Sir.",431,1,"['ron', 'harry', 'snape']"
432,snape," Pity. Clearly, fame isn't everything, is it, Mr. Potter?",432,1,"['snape', 'harry']"
436,harry, What's Seamus trying to do to that glass of water?,436,1,"['snape', 'harry']"
437,ron," Turn it into rum. Actually managed a weak tea yesterday, before...",437,1,"['snape', 'harry', 'ron']"
439,ron, Ah. Mail's here!,439,1,"['snape', 'harry', 'ron']"
441,harry, Can I borrow this? {Ron nods} Thanks.,441,1,"['snape', 'harry', 'ron']"
634,snape," Good luck today, Potter. Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin. {Leaves, limping.}",634,1,"['ron', 'harry', 'hermione', 'snape']"
635,harry, That explains the blood.,635,1,"['ron', 'harry', 'hermione', 'snape']"
636,hermione, Blood?,636,1,"['ron', 'harry', 'hermione', 'snape']"
637,harry," Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping.",637,1,"['ron', 'harry', 'hermione', 'snape']"
638,hermione, But why would anyone go near that dog?,638,1,"['ron', 'harry', 'hermione', 'snape']"
639,harry," The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret.",639,1,"['ron', 'harry', 'hermione', 'snape']"
640,hermione, So you're saying...,640,1,"['ron', 'harry', 'hermione', 'snape']"
641,harry, That's what the dog's guarding. That's what Snape wants.,641,1,"['snape', 'harry', 'hermione']"
643,hermione," Bit early for mail, isn't it?",643,1,"['snape', 'harry', 'hermione']"
644,harry, But I-I never get mail.,644,1,"['snape', 'harry', 'hermione']"
698,snape," What? Oh! {knocks the man back, who falls into Quirrell, who then also falls. Snape bats out the fire and acts as though nothing happened. The broom stop bucking, and Harry climbs back on. The Slytherin seeker is after the Snitch. Harry takes off.}",698,1,"['ron', 'hermione', 'snape']"
699,ron, Go!,699,1,"['ron', 'hermione', 'snape']"
700,hagrid, Go go go!,700,1,"['ron', 'hermione', 'hagrid', 'snape']"
703,hagrid, Looks like he's gonna be sick!,703,1,"['ron', 'hermione', 'hagrid', 'snape']"
776,snape," You don't want me as your enemy, Quirrell.",776,1,"['ron', 'harry', 'snape']"
778,snape," You know perfectly well what I mean. {Snape senses something. Harry stops breathing. Snape reaches out to grab something, but doesn't. He whips his finger back in front of Quirrell's face.} We'll have another chat soon...when you've had time to decide where your loyalties lie.",778,1,"['snape', 'harry']"
782,harry," Mum? {the woman nods and smiles} Dad? {nods and smiles. Harry reaches out to touch them, but only gets the mirror. Then, his mother puts her hand on his shoulder. He puts his own hand on his own shoulders, as if trying to feel her there.",782,1,"['snape', 'harry']"
784,harry," Ron! You've really got to see this! Ron! You've got to see this! {pulls back covers. Ron wakes up.} Ron, Ron, come on. Get out of bed!",784,1,"['snape', 'harry']"
785,ron, Why?,785,1,"['snape', 'harry', 'ron']"
786,harry," There's something you've got to see. Now, come on!",786,1,"['snape', 'harry', 'ron']"
788,harry," Come on. Come. Come look, it's my parents!",788,1,"['snape', 'harry', 'ron']"
934,snape," Good afternoon. Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?",934,1,"['snape', 'harry', 'hermione']"
935,hermione, Uh...we were just...,935,1,"['snape', 'harry', 'hermione']"
936,snape," You want to be careful. People will think you're {Harry glares madly at Snape, who looks shocked} up to something. {Exit.}",936,1,"['snape', 'harry', 'hermione']"
937,hermione, Now what do we do?,937,1,"['snape', 'harry', 'hermione']"
938,harry, We go down the trapdoor. Tonight.,938,1,"['snape', 'harry', 'hermione']"
940,harry, Trevor.,940,1,"['snape', 'harry', 'hermione']"
941,ron," Trevor shh! Go, you shouldn't be here!",941,1,"['snape', 'harry', 'hermione', 'ron']"
943,harry," Now, Neville, listen. We were",943,1,"['snape', 'harry', 'hermione', 'ron']"
945,hermione," Neville, I'm really, really sorry about this...{takes out wand} Petrificus Totalus.",945,1,"['snape', 'harry', 'hermione', 'ron']"
278,snape,You were seen! By no less then seven Muggles. Do you have any idea how serious this is? You have risked the exposure of our world. Not to mention the damage you inflicted on a Whomping Willow that has been on these grounds for hundreds of years.,278,2,"['ron', 'harry', 'snape']"
279,ron,"Honestly, Professor Snape, I think it did more damage to us.",279,2,"['ron', 'harry', 'snape']"
280,snape,"Silence! I assure you, were you in Slytherin and your fate rested with me, the both of you would be on the train home tonight. As it is --",280,2,"['ron', 'harry', 'snape']"
281,albus dumbledore,They are not. Harry and Ron turn. ALBUS DUMBLEDORE stands in the doorway. Alongside him is a distinctly annoyed PROFESSOR McGONAGALL.,281,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
282,harry,Professor Dumbledore. Professor McGonagall...,282,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
283,snape,"Headmaster, these boys have flouted the Decree for the Restriction of Underage Wizardry. As such...",283,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
284,albus dumbledore,"I'm well aware of our bylaws, Severus, having written more than a few myself. However, as Head of Gryffindor House, it is for Professor McGonagall to determine the appropriate action.",284,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
285,ron,"(rising gloomily) We'll go and get our stuff. PROFESSOR McGONAGALL What are you talking about, Mr. Weasley?",285,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
287,ron,"Well, you're going to expel us, aren't you? PROFESSOR McGONAGALL Not today, Mr. Weasley. But I must impress upon both of you the seriousness of what you have done. I will be sending owls to both of your families tonight. And you will each get a detention. Snape casts a look of pure venom at Harry and Ron.",287,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
288,albus dumbledore,"Splendid. Now, I suggest we return to the feast. There's a delicious-looking custard tart I want to sample. Rising, Harry spies an ENVELOPE on the floor. Taking it, he reads the back ""KWIKSPELL. A CORRESPONDENCE COURSE IN BEGINNER'S MAGIC."" It's addressed to ""MR. ARGUS FILCH.""",288,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
289,harry,"Mr. Filch. You dropped this... Filch turns, eyes the envelope with embarrassment, then snatches it from Harry's hand and stuffs it into his pocket.",289,2,"['albus dumbledore', 'ron', 'harry', 'snape']"
427,snape,"If I might, Headmaster... The others turn, watch Snape separate from the shadows.",427,2,"['albus dumbledore', 'snape', 'harry']"
428,snape,Perhaps Potter and his friends were simply in the wrong place at the wrong time... Could Snape be defending Harry and the others blink. them?,428,2,"['albus dumbledore', 'snape', 'harry']"
429,snape,"However, the circumstances are suspicious. I, for one, don't recall seeing Potter at dinner.",429,2,"['albus dumbledore', 'snape', 'harry']"
431,hermione,"That's why Ron and I went looking for him, Professor. We'd just found him when Harry said...",431,2,"['albus dumbledore', 'snape', 'harry', 'hermione']"
432,snape,"(raising an eyebrow) Yes, Miss Granger?",432,2,"['albus dumbledore', 'snape', 'harry', 'hermione']"
433,harry,"When I said I wasn't hungry. We were heading back to the Common Room and... found Mrs. Norris. Snape eyes Harry coldly, knowing he's lying. Harry looks away... and finds Dumbledore studying him as well.",433,2,"['snape', 'harry', 'hermione']"
434,albus dumbledore,Innocent until proven guilty.,434,2,"['albus dumbledore', 'snape', 'harry', 'hermione']"
437,albus dumbledore,"We will be able to cure her, Argus. As I understand it, Madam Sprout has a very healthy growth of Mandrakes. When they have matured, a potion will be made which will revive Mrs. Norris. In the meantime, I advise caution. To all.",437,2,"['albus dumbledore', 'snape', 'harry', 'hermione']"
439,ron,"A Squib's someone who's born into a wizarding family but hasn't got any powers of their own. It's why Filch is trying to learn magic from a Kwikspell course. It's also why he hates students so much. He's bitter. Hermione, who's only been half-listening -- as if trying to unravel something in her mind -- speaks then.",439,2,"['albus dumbledore', 'hermione', 'ron', 'snape', 'harry']"
440,hermione,Harry. This voice. You said you heard it first in Lockhart's office?,440,2,"['albus dumbledore', 'hermione', 'ron', 'snape', 'harry']"
441,harry,Yes.,441,2,"['albus dumbledore', 'hermione', 'ron', 'snape', 'harry']"
442,hermione,And did he hear it?,442,2,"['albus dumbledore', 'hermione', 'ron', 'snape', 'harry']"
562,snape,Expelliarmus! A dazzling flash of SCARLET LIGHT bursts forth and BLASTS Lockhart off his feet and into the wall behind.,562,2,"['ron', 'harry', 'snape']"
563,hermione,Do you think he's all right?,563,2,"['ron', 'harry', 'snape', 'hermione']"
564,harry,Who cares?,564,2,"['ron', 'harry', 'snape', 'hermione']"
565,ron,Who cares?,564,2,"['ron', 'harry', 'snape', 'hermione']"
568,snape,"Perhaps it would be prudent to first teach the students to block unfriendly spells, Professor.",568,2,"['ron', 'harry', 'snape', 'hermione']"
571,snape,"Weasley's wand causes devastation with the simplest spells. We'll be sending Potter to the hospital wing in a matchbox. Might I suggest someone from my own house. Malfoy, perhaps. Malfoy and Harry eye each other malevolently as they take their places onstage. Grudgingly, they bow to each other.",571,2,"['ron', 'harry', 'snape', 'hermione']"
