,character,statement,line,book,scene
177,tom riddle, Bless my soul. It's Harry Potter.,177,1,"['harry', 'tom riddle', 'hagrid']"
184,hagrid," Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",184,1,"['tom riddle', 'hagrid']"
185,harry," Oh, nice to meet you. {Puts out hand. Quirrell refuses}",185,1,"['harry', 'tom riddle', 'hagrid']"
187,hagrid," Yes, well, must be going now. Lots to buy. Heh.",187,1,"['harry', 'tom riddle', 'hagrid']"
786,tom riddle,Professor Dumbledore.,786,2,"['tom riddle', 'harry', 'hermione']"
787,albus dumbledore,"It's not wise to be wandering around this late, Tom.",787,2,"['albus dumbledore', 'harry', 'tom riddle', 'hermione']"
789,tom riddle,"Yes, Professor. I suppose I -- I just had to see for myself, if... Riddle glances toward the young wizards, watches them carry the stretcher out of the Hall, into the night.",789,2,"['albus dumbledore', 'harry', 'tom riddle', 'hermione']"
790,tom riddle,... the rumors were true.,790,2,"['albus dumbledore', 'harry', 'tom riddle', 'hermione']"
791,albus dumbledore,"I'm afraid they are, Tom.",791,2,"['albus dumbledore', 'harry', 'tom riddle']"
792,tom riddle,"About the school as well? They wouldn't really close Hogwarts, would they, Professor?",792,2,"['albus dumbledore', 'harry', 'tom riddle']"
793,albus dumbledore,"Headmaster Dippet may have no choice, I'm afraid.",793,2,"['albus dumbledore', 'harry', 'tom riddle']"
794,tom riddle,Sir? If it all stopped. If the person responsible was caught...,794,2,"['albus dumbledore', 'harry', 'tom riddle']"
795,albus dumbledore,"Is there something you wish to tell me, Tom?",795,2,"['albus dumbledore', 'harry', 'tom riddle']"
796,tom riddle,"(a long beat) No, sir. Nothing. Dumbledore studies Riddle for a moment.",796,2,"['albus dumbledore', 'tom riddle']"
797,albus dumbledore,"Very well then. Hurry along. Dumbledore strides directly past Harry, not seeing him. When he is gone, Riddle moves quickly, toward the dungeon steps.",797,2,"['albus dumbledore', 'tom riddle']"
802,tom riddle,"Evening, Hagrid. Hagrid SLAMS the door shut.",802,2,"['albus dumbledore', 'tom riddle']"
803,tom riddle,"I'm going to have to turn you in, Hagrid. I don't think you meant it to kill anyone --",803,2,"['albus dumbledore', 'tom riddle']"
804,hagrid,"No, yeh can't! Yeh don' understand!",804,2,"['albus dumbledore', 'tom riddle', 'hagrid']"
805,tom riddle,Hagrid. The dead girl's parents will be here tomorrow. The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,805,2,"['albus dumbledore', 'tom riddle', 'hagrid']"
806,hagrid,It wasn' him! Aragog never'd kill no one! Never!,806,2,"['albus dumbledore', 'tom riddle', 'hagrid']"
807,tom riddle,"Monsters don't make good pets, Hagrid. Now... stand aside... Riddle draws his wand, BLASTS the closed DOOR off its hinges, extinguishing the torches within. Harry GASPS. A low-slung CREATURE with a tangle of black legs, a gleam of many eyes and a pair of razor-sharp pincers, scuttles out of the shadows. As Riddle points his wand at it, Hagrid LEAPS...",807,2,"['albus dumbledore', 'tom riddle', 'hagrid']"
808,hagrid,Noooooo!,808,2,"['tom riddle', 'hagrid']"
811,harry,Ron! Ron!,811,2,"['harry', 'tom riddle', 'hagrid']"
812,ron,What? What's happened...?,812,2,"['ron', 'harry', 'tom riddle', 'hagrid']"
813,harry,"It was Hagrid. Hagrid opened the Chamber of Secrets fifty years ago. 100B EXT. HOGWARTS - ESTABLISHING SHOT - DAY 100B CAMERA SOARS high over the castle, as below, students hurry to their classes. Finally, it FINDS",813,2,"['ron', 'harry', 'tom riddle', 'hagrid']"
815,hermione,It can't be Hagrid. It just can't be.,815,2,"['tom riddle', 'hermione', 'ron', 'harry', 'hagrid']"
816,ron,"We don't even know this Riddle. He sounds like a dirty, rotten snitch to me.",816,2,"['tom riddle', 'hermione', 'ron', 'harry', 'hagrid']"
817,harry,"The monster had killed someone, Ron. What would any of us done?",817,2,"['tom riddle', 'hermione', 'ron', 'harry', 'hagrid']"
