character,statement,line,book
full tan draft,"february 24, 2003",0,3
environment,a tent of blankets. within... the shadow of a boy. a,1,3
harry,lumos maxima... the tent blooms softly with light -- briefly illuminating a bedside photograph (of james &amp; lily potter) -- then goes dark.,2,3
harry,"lumos maxima... as the blankets blaze, we cut inside, find a skinny boy with a crow's nest of black hair, thick glasses sitting crookedly atop his nose: harry potter. open before him is violeta stitch's extreme incantations. once again, he speaks:",3,3
environment,a blinding blast of light flashes from the second story window of number four. dogs bark. and a title card appears:,4,3
environment,"the light in the hallway snaps on, harry's tent droops once more and, seconds later, harry's door eases open. uncle vernon peers in and switches on the light. the room is utterly silent. slowly, he closes the door.",5,3
environment,"harry! harry! harry bounds down the stairs and into the front hall, where his aunt petunia and cousin dudley stand stiffly. petunia flicks a bit of fluff from dudley's sweater, glowers crossly at harry, and jerks her head toward the door.",6,3
aunt petunia,marge! welcome! how was the train?,7,3
aunt petunia,ah. how... unfortunate.,8,3
harry,uncle vernon. i need you to sign this form.,9,3
harry,nothing. something for school... uncle vernon eyes the parchment in harry's hand suspiciously.,10,3
harry,i will if she does.,11,3
harry,yes.,12,3
aunt marge,"is that my dudders! hm? is that my neffy poo? come and say hello to your auntie marge. marge flashes a thick fan of pound notes. dudley blinks, waddles forward, and extends his plump palm obediently. harry looks on, then sees ripper snuffling about his ankle.",13,3
uncle vernon,"can i tempt you, marge?",14,3
aunt marge,"what are you smirking at! where is it that you send him, vernon?",15,3
aunt marge,"i see. and do they use the cane at st. brutus's, boy?",16,3
aunt marge,"excellent. i won't have this namby-pamby wishy-washy nonsense about not hitting people who deserve it. (another sip) still. mustn't blame yourself for how this one's turned out, vernon. it all comes down to blood. bad blood will out. what is it the boy's father did, petunia?",17,3
aunt marge,"of course. and a drunk, i expect --",18,3
aunt marge,what did you say?,19,3
aunt petunia,oh my goodness! marge!,20,3
uncle vernon,you go to bed. now.,21,3
harry,"shut up! shut up! aunt marge starts to reply, when -- zing! -- a button on her dress sails into the air. seams groan. thread snaps. aunt marge's eyes widen. her cheeks billow. her whole body billows. and she begins to inflate like a",22,3
environment,"the others race outside. as aunt marge begins to float away, uncle vernon grips her hands.",23,3
aunt marge,vernon. don't you dare -- but he does. he lets go. falls to his knees. and watches aunt marge float away.,24,3
environment,boom! boom! boom! harry tows the trunk down the stairs... finds uncle vernon waiting for him.,25,3
harry,"no! she deserved what she got! and you... you keep away from me. uncle vernon eyes harry's wand nervously, then grins with knowing cruelty.",26,3
harry,anywhere's better than here.,27,3
environment,"harry walks and walks and walks, then... stops. glances about. an empty playground. swings creaking gently on rusted chains. a tiny carousel, kissed gently by the wind, turning slowly. harry drops the trunk. sits. deep in the night, an alarm shrieks, goes silent. harry, still as a statue. listening. in the trees above, leaves tremble. the wind gathers. harry turns, studies the swaying swings, the carousel. then, he... stiffens. turns back. sensing something in the shadows across the street, he rises. slowly draws his wand. then he sees... it. something big. darker than the shadows which conceal it. something with wide, gleaming",28,3
harry,"aaaah! giant wheels bear down. harry rolls clear -- just as a preposterously purple, triple-decker bus screeches to a halt. gold letters glimmer above the windscreen: the knight bus. doors hiss. snap back. reveal stan shunpike, an 18- year-old boy in a wrinkled conductor's uniform. pasty face. raccoon eyes. stan looks like he hasn't seen the sun in years.",29,3
harry,fell over.,30,3
harry,"i didn't do it on purpose. stan eyes harry suspiciously, nods slowly.",31,3
environment,"no seats. only beds. the brass frames need a shine, the lines a wash. in one bed, a disheveled wizard grunts, turns over in his sleep.",32,3
stan shunpike,"take 'er away, ern.",33,3
stan shunpike,wot you say your name was again?,34,3
stan shunpike,whereabouts you headin'? harry hesitates. he hadn't thought about this. decides.,35,3
stan shunpike,"is it now? get that, ern? the leaky cauldron. that's in london. stan grins with sinister delight, showing bad teeth.",36,3
harry,isn't this a bit... dangerous?,37,3
shrunken head,"heads up! little old lady at twelve o'clock! sure enough, directly ahead, a little old lady is crossing the street. ernie hits the brakes hard and harry flies forward, palms to the window. the brakes pinch down, the bus stops inches from the old lady, and harry flies back onto his bed. bang! the bus rockets forward once more. as harry rights himself, he notices the headline of stan's daily prophet: escape from azkaban! below, a sunken-faced man with long, matted hair glowers from a",38,3
harry,who is that? that man.,39,3
stan shunpike,"a murderer, he is. got 'imself locked up in azkaban for it.",40,3
stan shunpike,"tha's the question, isn't it? he's the firs' that's done it. gives me the collywobbles thinking he's out there, though, i'll tell you that. big supporter of you- know-'oo, black was. reckon you heard o' him. harry nods and, as he does, black's eyes shift. meet harry's.",41,3
shrunken head,hate that.,42,3
stan shunpike,"them! don' listen properly, do they? don' look properly either. never notice nuffink, they don'. just then, a couple walking a dog are engulfed by a rush of wind as the (invisible) knight bus whooshes past. the couple glances about in bewilderment. the dog yaps madly.",43,3
environment,"the chandelier sways drunkenly as the bus doors open. the steps groan with heavy feet and a figure appears: tom, innkeeper of the leaky cauldron pub.",44,3
environment,"as the knight bus rockets off, tom and harry are revealed, harry glances up, reads the sign above: the leaky cauldron. tom drags harry's trunk inside, then pauses and, with a flick of his wand, silences the car alarm.",45,3
environment,"harry trails tom through the quiet room. the bartender glances up, his gaze lingering perhaps a bit too long. a solitary wizard reads a book while, at his elbow, his coffee cup stirs itself. tom leads harry upstairs.",46,3
harry,hedwig!,47,3
cornelius fudge,"i should tell you, mr. potter, earlier this evening your uncle's sister was located just south of sheffield, circling a chimney stack. the accidental magic reversal department was dispatched and she's been properly punctured and her memory modified. she has no recollection of the incident whatsoever. harry waits. a man condemned. then fudge turns.",48,3
harry,no thank you. minister... i don't understand. i broke the law. underage wizards aren't allowed to use magic at home --,49,3
harry,'the state of things' sir?,50,3
harry,"sirius black, you mean. but... what's that got to do with me? crack! tom shatters another walnut. fudge smiles nervously.",51,3
cornelius fudge,"by the way, harry. whilst you're here it would be best if you didn't... wander.",52,3
environment,"through the window: the rooftops of london. a train passes and camera pulls back, reveals harry, standing with hedwig. he turns, eyes his schoolbooks. he studies the growling tome -- the monster book of monsters -- then gives the rope a tug. instantly... ... the book leaps to the floor, pages flying, bookcovers snapping. harry gives chase, then the book turns, begins nipping viciously at his shoes. harry vaults atop the bed, watches the book disappear underneath, then grabs a",53,3
environment,a young witch in maid's robes pushes a cart down the hall. harry exits his room as the witch knocks on a door.,54,3
young witch,(unperturbed) i'll come back later.,55,3
environment,"something small and fast dashes by harry's feet. looking, he spies a rather ragged-looking rat (scabbers), pursued by a decidedly ugly orange cat (crookshanks).",56,3
